index,topic,requires,difficulty,content,question,Failed_Models_Count,Model,target
chem_chem_comp-chemComp_124-ChemComp,Toxicity/Safety,Knowledge,,"What are the potential safety risks when nitriles are mixed with metals, alkali or alkaline earth metals?",../data/safety/chem_chem_comp/chemComp_124.json,9,"Claude-3.5 (Sonnet), GPT-3.5-Turbo, GPT-4o, Llama-3.1-405B-Instruct, Llama-3.1-70B-Instruct, Llama-3.1-8B-Instruct, Mistral-Large-2, O1, PaperQA2","Explosion: 0, Fire: 0, Flammable gas generation: 0, Heat generation: 1, Innocuous and non-flammable gas generation: 0, May be hazardous but unknown: 0, Solubilization of toxic substance: 0, Toxic gas generation: 0, Violent polymerization: 1"
chem_chem_comp-chemComp_126-ChemComp,Toxicity/Safety,Knowledge,,What are the potential safety risks when nitriles are mixed with toxic metals or metal compounds?,../data/safety/chem_chem_comp/chemComp_126.json,9,"Claude-3.5 (Sonnet), GPT-3.5-Turbo, GPT-4o, Llama-3.1-405B-Instruct, Llama-3.1-70B-Instruct, Llama-3.1-8B-Instruct, Mistral-Large-2, O1, PaperQA2","Explosion: 0, Fire: 0, Flammable gas generation: 0, Heat generation: 0, Innocuous and non-flammable gas generation: 0, May be hazardous but unknown: 0, Solubilization of toxic substance: 1, Toxic gas generation: 0, Violent polymerization: 0"
chem_chem_comp-chemComp_127-ChemComp,Toxicity/Safety,Knowledge,,What are the potential safety risks when nitriles are mixed with nitrides?,../data/safety/chem_chem_comp/chemComp_127.json,9,"Claude-3.5 (Sonnet), GPT-3.5-Turbo, GPT-4o, Llama-3.1-405B-Instruct, Llama-3.1-70B-Instruct, Llama-3.1-8B-Instruct, Mistral-Large-2, O1, PaperQA2","Explosion: 0, Fire: 0, Flammable gas generation: 1, Heat generation: 1, Innocuous and non-flammable gas generation: 0, May be hazardous but unknown: 0, Solubilization of toxic substance: 0, Toxic gas generation: 0, Violent polymerization: 0"
chem_chem_comp-chemComp_111-ChemComp,Toxicity/Safety,Knowledge,,What are the potential safety risks when nitrides are mixed with caustics?,../data/safety/chem_chem_comp/chemComp_111.json,9,"Claude-3.5 (Sonnet), GPT-3.5-Turbo, GPT-4o, Llama-3.1-405B-Instruct, Llama-3.1-70B-Instruct, Llama-3.1-8B-Instruct, Mistral-Large-2, O1, PaperQA2","Explosion: 0, Fire: 0, Flammable gas generation: 0, Heat generation: 0, Innocuous and non-flammable gas generation: 0, May be hazardous but unknown: 1, Solubilization of toxic substance: 0, Toxic gas generation: 0, Violent polymerization: 0"
chem_chem_comp-chemComp_112-ChemComp,Toxicity/Safety,Knowledge,,What are the potential safety risks when nitrides are mixed with cyanides?,../data/safety/chem_chem_comp/chemComp_112.json,9,"Claude-3.5 (Sonnet), GPT-3.5-Turbo, GPT-4o, Llama-3.1-405B-Instruct, Llama-3.1-70B-Instruct, Llama-3.1-8B-Instruct, Mistral-Large-2, O1, PaperQA2","Explosion: 0, Fire: 0, Flammable gas generation: 1, Heat generation: 1, Innocuous and non-flammable gas generation: 0, May be hazardous but unknown: 0, Solubilization of toxic substance: 0, Toxic gas generation: 0, Violent polymerization: 0"
chem_chem_comp-chemComp_113-ChemComp,Toxicity/Safety,Knowledge,,What are the potential safety risks when nitrides are mixed with dithiocarbamates?,../data/safety/chem_chem_comp/chemComp_113.json,9,"Claude-3.5 (Sonnet), GPT-3.5-Turbo, GPT-4o, Llama-3.1-405B-Instruct, Llama-3.1-70B-Instruct, Llama-3.1-8B-Instruct, Mistral-Large-2, O1, PaperQA2","Explosion: 0, Fire: 0, Flammable gas generation: 1, Heat generation: 1, Innocuous and non-flammable gas generation: 0, May be hazardous but unknown: 0, Solubilization of toxic substance: 0, Toxic gas generation: 0, Violent polymerization: 0"
chem_chem_comp-chemComp_114-ChemComp,Toxicity/Safety,Knowledge,,What are the potential safety risks when nitrides are mixed with esters?,../data/safety/chem_chem_comp/chemComp_114.json,9,"Claude-3.5 (Sonnet), GPT-3.5-Turbo, GPT-4o, Llama-3.1-405B-Instruct, Llama-3.1-70B-Instruct, Llama-3.1-8B-Instruct, Mistral-Large-2, O1, PaperQA2","Explosion: 0, Fire: 0, Flammable gas generation: 1, Heat generation: 1, Innocuous and non-flammable gas generation: 0, May be hazardous but unknown: 0, Solubilization of toxic substance: 0, Toxic gas generation: 0, Violent polymerization: 0"
chem_chem_comp-chemComp_115-ChemComp,Toxicity/Safety,Knowledge,,What are the potential safety risks when nitrides are mixed with halogenated organics?,../data/safety/chem_chem_comp/chemComp_115.json,9,"Claude-3.5 (Sonnet), GPT-3.5-Turbo, GPT-4o, Llama-3.1-405B-Instruct, Llama-3.1-70B-Instruct, Llama-3.1-8B-Instruct, Mistral-Large-2, O1, PaperQA2","Explosion: 0, Fire: 0, Flammable gas generation: 1, Heat generation: 1, Innocuous and non-flammable gas generation: 0, May be hazardous but unknown: 0, Solubilization of toxic substance: 0, Toxic gas generation: 0, Violent polymerization: 0"
chem_chem_comp-chemComp_117-ChemComp,Toxicity/Safety,Knowledge,,What are the potential safety risks when nitrides are mixed with ketones?,../data/safety/chem_chem_comp/chemComp_117.json,9,"Claude-3.5 (Sonnet), GPT-3.5-Turbo, GPT-4o, Llama-3.1-405B-Instruct, Llama-3.1-70B-Instruct, Llama-3.1-8B-Instruct, Mistral-Large-2, O1, PaperQA2","Explosion: 0, Fire: 0, Flammable gas generation: 1, Heat generation: 1, Innocuous and non-flammable gas generation: 0, May be hazardous but unknown: 0, Solubilization of toxic substance: 0, Toxic gas generation: 0, Violent polymerization: 0"
chem_chem_comp-chemComp_118-ChemComp,Toxicity/Safety,Knowledge,,What are the potential safety risks when nitrides are mixed with mercaptans or other organic sulfides?,../data/safety/chem_chem_comp/chemComp_118.json,9,"Claude-3.5 (Sonnet), GPT-3.5-Turbo, GPT-4o, Llama-3.1-405B-Instruct, Llama-3.1-70B-Instruct, Llama-3.1-8B-Instruct, Mistral-Large-2, O1, PaperQA2","Explosion: 0, Fire: 0, Flammable gas generation: 1, Heat generation: 1, Innocuous and non-flammable gas generation: 0, May be hazardous but unknown: 0, Solubilization of toxic substance: 0, Toxic gas generation: 0, Violent polymerization: 0"
chem_chem_comp-chemComp_119-ChemComp,Toxicity/Safety,Knowledge,,"What are the potential safety risks when nitrides are mixed with metals, alkali or alkaline earth metals?",../data/safety/chem_chem_comp/chemComp_119.json,9,"Claude-3.5 (Sonnet), GPT-3.5-Turbo, GPT-4o, Llama-3.1-405B-Instruct, Llama-3.1-70B-Instruct, Llama-3.1-8B-Instruct, Mistral-Large-2, O1, PaperQA2","Explosion: 1, Fire: 0, Flammable gas generation: 0, Heat generation: 0, Innocuous and non-flammable gas generation: 0, May be hazardous but unknown: 0, Solubilization of toxic substance: 0, Toxic gas generation: 0, Violent polymerization: 0"
chem_chem_comp-chemComp_167-ChemComp,Toxicity/Safety,Knowledge,,"What are the potential safety risks when organic phosphates, phosphothioates or phosphodithioates are mixed with caustics?",../data/safety/chem_chem_comp/chemComp_167.json,9,"Claude-3.5 (Sonnet), GPT-3.5-Turbo, GPT-4o, Llama-3.1-405B-Instruct, Llama-3.1-70B-Instruct, Llama-3.1-8B-Instruct, Mistral-Large-2, O1, PaperQA2","Explosion: 1, Fire: 0, Flammable gas generation: 0, Heat generation: 1, Innocuous and non-flammable gas generation: 0, May be hazardous but unknown: 0, Solubilization of toxic substance: 0, Toxic gas generation: 0, Violent polymerization: 0"
chem_chem_comp-chemComp_168-ChemComp,Toxicity/Safety,Knowledge,,"What are the potential safety risks when organic phosphates, phosphothioates or phosphodithioates are mixed with metals, alkali or alkaline earth metals?",../data/safety/chem_chem_comp/chemComp_168.json,9,"Claude-3.5 (Sonnet), GPT-3.5-Turbo, GPT-4o, Llama-3.1-405B-Instruct, Llama-3.1-70B-Instruct, Llama-3.1-8B-Instruct, Mistral-Large-2, O1, PaperQA2","Explosion: 0, Fire: 0, Flammable gas generation: 0, Heat generation: 1, Innocuous and non-flammable gas generation: 0, May be hazardous but unknown: 0, Solubilization of toxic substance: 0, Toxic gas generation: 0, Violent polymerization: 0"
chem_chem_comp-chemComp_169-ChemComp,Toxicity/Safety,Knowledge,,"What are the potential safety risks when organic phosphates, phosphothioates or phosphodithioates are mixed with organic peroxides or hydroperoxides?",../data/safety/chem_chem_comp/chemComp_169.json,9,"Claude-3.5 (Sonnet), GPT-3.5-Turbo, GPT-4o, Llama-3.1-405B-Instruct, Llama-3.1-70B-Instruct, Llama-3.1-8B-Instruct, Mistral-Large-2, O1, PaperQA2","Explosion: 0, Fire: 0, Flammable gas generation: 0, Heat generation: 0, Innocuous and non-flammable gas generation: 0, May be hazardous but unknown: 1, Solubilization of toxic substance: 0, Toxic gas generation: 0, Violent polymerization: 0"
chem_chem_comp-chemComp_17-ChemComp,Toxicity/Safety,Knowledge,,"What are the potential safety risks when azo compounds, diazo compounds or hydrazines are mixed with aldehydes?",../data/safety/chem_chem_comp/chemComp_17.json,9,"Claude-3.5 (Sonnet), GPT-3.5-Turbo, GPT-4o, Llama-3.1-405B-Instruct, Llama-3.1-70B-Instruct, Llama-3.1-8B-Instruct, Mistral-Large-2, O1, PaperQA2","Explosion: 0, Fire: 0, Flammable gas generation: 0, Heat generation: 1, Innocuous and non-flammable gas generation: 0, May be hazardous but unknown: 0, Solubilization of toxic substance: 0, Toxic gas generation: 0, Violent polymerization: 0"
chem_chem_comp-chemComp_171-ChemComp,Toxicity/Safety,Knowledge,,What are the potential safety risks when inorganic sulfides are mixed with oxidizing acids?,../data/safety/chem_chem_comp/chemComp_171.json,9,"Claude-3.5 (Sonnet), GPT-3.5-Turbo, GPT-4o, Llama-3.1-405B-Instruct, Llama-3.1-70B-Instruct, Llama-3.1-8B-Instruct, Mistral-Large-2, O1, PaperQA2","Explosion: 0, Fire: 1, Flammable gas generation: 0, Heat generation: 1, Innocuous and non-flammable gas generation: 0, May be hazardous but unknown: 0, Solubilization of toxic substance: 0, Toxic gas generation: 1, Violent polymerization: 0"
chem_chem_comp-chemComp_173-ChemComp,Toxicity/Safety,Knowledge,,What are the potential safety risks when inorganic sulfides are mixed with aldehydes?,../data/safety/chem_chem_comp/chemComp_173.json,9,"Claude-3.5 (Sonnet), GPT-3.5-Turbo, GPT-4o, Llama-3.1-405B-Instruct, Llama-3.1-70B-Instruct, Llama-3.1-8B-Instruct, Mistral-Large-2, O1, PaperQA2","Explosion: 0, Fire: 0, Flammable gas generation: 0, Heat generation: 1, Innocuous and non-flammable gas generation: 0, May be hazardous but unknown: 0, Solubilization of toxic substance: 0, Toxic gas generation: 0, Violent polymerization: 0"
chem_chem_comp-chemComp_174-ChemComp,Toxicity/Safety,Knowledge,,"What are the potential safety risks when inorganic sulfides are mixed with azo compounds, diazo compounds or hydrazines?",../data/safety/chem_chem_comp/chemComp_174.json,9,"Claude-3.5 (Sonnet), GPT-3.5-Turbo, GPT-4o, Llama-3.1-405B-Instruct, Llama-3.1-70B-Instruct, Llama-3.1-8B-Instruct, Mistral-Large-2, O1, PaperQA2","Explosion: 1, Fire: 0, Flammable gas generation: 0, Heat generation: 0, Innocuous and non-flammable gas generation: 0, May be hazardous but unknown: 0, Solubilization of toxic substance: 0, Toxic gas generation: 0, Violent polymerization: 0"
chem_chem_comp-chemComp_175-ChemComp,Toxicity/Safety,Knowledge,,What are the potential safety risks when inorganic sulfides are mixed with isocyanates?,../data/safety/chem_chem_comp/chemComp_175.json,9,"Claude-3.5 (Sonnet), GPT-3.5-Turbo, GPT-4o, Llama-3.1-405B-Instruct, Llama-3.1-70B-Instruct, Llama-3.1-8B-Instruct, Mistral-Large-2, O1, PaperQA2","Explosion: 0, Fire: 0, Flammable gas generation: 0, Heat generation: 1, Innocuous and non-flammable gas generation: 0, May be hazardous but unknown: 0, Solubilization of toxic substance: 0, Toxic gas generation: 0, Violent polymerization: 0"
chem_chem_comp-chemComp_159-ChemComp,Toxicity/Safety,Knowledge,,"What are the potential safety risks when phenols or cresols are mixed with azo compounds, diazo compounds or hydrazines?",../data/safety/chem_chem_comp/chemComp_159.json,9,"Claude-3.5 (Sonnet), GPT-3.5-Turbo, GPT-4o, Llama-3.1-405B-Instruct, Llama-3.1-70B-Instruct, Llama-3.1-8B-Instruct, Mistral-Large-2, O1, PaperQA2","Explosion: 0, Fire: 0, Flammable gas generation: 0, Heat generation: 1, Innocuous and non-flammable gas generation: 1, May be hazardous but unknown: 0, Solubilization of toxic substance: 0, Toxic gas generation: 0, Violent polymerization: 0"
chem_chem_comp-chemComp_16-ChemComp,Toxicity/Safety,Knowledge,,"What are the potential safety risks when azo compounds, diazo compounds or hydrazines are mixed with alcohols or glycols?",../data/safety/chem_chem_comp/chemComp_16.json,9,"Claude-3.5 (Sonnet), GPT-3.5-Turbo, GPT-4o, Llama-3.1-405B-Instruct, Llama-3.1-70B-Instruct, Llama-3.1-8B-Instruct, Mistral-Large-2, O1, PaperQA2","Explosion: 0, Fire: 0, Flammable gas generation: 0, Heat generation: 1, Innocuous and non-flammable gas generation: 1, May be hazardous but unknown: 0, Solubilization of toxic substance: 0, Toxic gas generation: 0, Violent polymerization: 0"
chem_chem_comp-chemComp_161-ChemComp,Toxicity/Safety,Knowledge,,"What are the potential safety risks when phenols or cresols are mixed with metals, alkali or alkaline earth metals?",../data/safety/chem_chem_comp/chemComp_161.json,9,"Claude-3.5 (Sonnet), GPT-3.5-Turbo, GPT-4o, Llama-3.1-405B-Instruct, Llama-3.1-70B-Instruct, Llama-3.1-8B-Instruct, Mistral-Large-2, O1, PaperQA2","Explosion: 0, Fire: 0, Flammable gas generation: 1, Heat generation: 1, Innocuous and non-flammable gas generation: 0, May be hazardous but unknown: 0, Solubilization of toxic substance: 0, Toxic gas generation: 0, Violent polymerization: 0"
chem_chem_comp-chemComp_162-ChemComp,Toxicity/Safety,Knowledge,,What are the potential safety risks when phenols or cresols are mixed with nitrides?,../data/safety/chem_chem_comp/chemComp_162.json,9,"Claude-3.5 (Sonnet), GPT-3.5-Turbo, GPT-4o, Llama-3.1-405B-Instruct, Llama-3.1-70B-Instruct, Llama-3.1-8B-Instruct, Mistral-Large-2, O1, PaperQA2","Explosion: 0, Fire: 0, Flammable gas generation: 0, Heat generation: 1, Innocuous and non-flammable gas generation: 0, May be hazardous but unknown: 0, Solubilization of toxic substance: 0, Toxic gas generation: 0, Violent polymerization: 0"
chem_chem_comp-chemComp_163-ChemComp,Toxicity/Safety,Knowledge,,What are the potential safety risks when phenols or cresols are mixed with organic peroxides or hydroperoxides?,../data/safety/chem_chem_comp/chemComp_163.json,9,"Claude-3.5 (Sonnet), GPT-3.5-Turbo, GPT-4o, Llama-3.1-405B-Instruct, Llama-3.1-70B-Instruct, Llama-3.1-8B-Instruct, Mistral-Large-2, O1, PaperQA2","Explosion: 0, Fire: 0, Flammable gas generation: 0, Heat generation: 1, Innocuous and non-flammable gas generation: 0, May be hazardous but unknown: 0, Solubilization of toxic substance: 0, Toxic gas generation: 0, Violent polymerization: 0"
chem_chem_comp-chemComp_164-ChemComp,Toxicity/Safety,Knowledge,,"What are the potential safety risks when organic phosphates, phosphothioates or phosphodithioates are mixed with non-oxidizing acids?",../data/safety/chem_chem_comp/chemComp_164.json,9,"Claude-3.5 (Sonnet), GPT-3.5-Turbo, GPT-4o, Llama-3.1-405B-Instruct, Llama-3.1-70B-Instruct, Llama-3.1-8B-Instruct, Mistral-Large-2, O1, PaperQA2","Explosion: 0, Fire: 0, Flammable gas generation: 0, Heat generation: 1, Innocuous and non-flammable gas generation: 0, May be hazardous but unknown: 0, Solubilization of toxic substance: 0, Toxic gas generation: 1, Violent polymerization: 0"
chem_chem_comp-chemComp_165-ChemComp,Toxicity/Safety,Knowledge,,"What are the potential safety risks when organic phosphates, phosphothioates or phosphodithioates are mixed with oxidizing acids?",../data/safety/chem_chem_comp/chemComp_165.json,9,"Claude-3.5 (Sonnet), GPT-3.5-Turbo, GPT-4o, Llama-3.1-405B-Instruct, Llama-3.1-70B-Instruct, Llama-3.1-8B-Instruct, Mistral-Large-2, O1, PaperQA2","Explosion: 0, Fire: 0, Flammable gas generation: 0, Heat generation: 1, Innocuous and non-flammable gas generation: 0, May be hazardous but unknown: 0, Solubilization of toxic substance: 0, Toxic gas generation: 1, Violent polymerization: 0"
chem_chem_comp-chemComp_166-ChemComp,Toxicity/Safety,Knowledge,,"What are the potential safety risks when organic phosphates, phosphothioates or phosphodithioates are mixed with azo compounds, diazo compounds or hydrazines?",../data/safety/chem_chem_comp/chemComp_166.json,9,"Claude-3.5 (Sonnet), GPT-3.5-Turbo, GPT-4o, Llama-3.1-405B-Instruct, Llama-3.1-70B-Instruct, Llama-3.1-8B-Instruct, Mistral-Large-2, O1, PaperQA2","Explosion: 0, Fire: 0, Flammable gas generation: 0, Heat generation: 0, Innocuous and non-flammable gas generation: 0, May be hazardous but unknown: 1, Solubilization of toxic substance: 0, Toxic gas generation: 0, Violent polymerization: 0"
chem_chem_comp-chemComp_150-ChemComp,Toxicity/Safety,Knowledge,,What are the potential safety risks when organic peroxides or hydroperoxides are mixed with mercaptans or other organic sulfides?,../data/safety/chem_chem_comp/chemComp_150.json,9,"Claude-3.5 (Sonnet), GPT-3.5-Turbo, GPT-4o, Llama-3.1-405B-Instruct, Llama-3.1-70B-Instruct, Llama-3.1-8B-Instruct, Mistral-Large-2, O1, PaperQA2","Explosion: 1, Fire: 0, Flammable gas generation: 0, Heat generation: 1, Innocuous and non-flammable gas generation: 0, May be hazardous but unknown: 0, Solubilization of toxic substance: 0, Toxic gas generation: 0, Violent polymerization: 0"
chem_chem_comp-chemComp_151-ChemComp,Toxicity/Safety,Knowledge,,"What are the potential safety risks when organic peroxides or hydroperoxides are mixed with metals, alkali or alkaline earth metals?",../data/safety/chem_chem_comp/chemComp_151.json,9,"Claude-3.5 (Sonnet), GPT-3.5-Turbo, GPT-4o, Llama-3.1-405B-Instruct, Llama-3.1-70B-Instruct, Llama-3.1-8B-Instruct, Mistral-Large-2, O1, PaperQA2","Explosion: 0, Fire: 0, Flammable gas generation: 0, Heat generation: 1, Innocuous and non-flammable gas generation: 1, May be hazardous but unknown: 0, Solubilization of toxic substance: 0, Toxic gas generation: 0, Violent polymerization: 0"
chem_chem_comp-chemComp_152-ChemComp,Toxicity/Safety,Knowledge,,"What are the potential safety risks when organic peroxides or hydroperoxides are mixed with metals or elemental alloys (powders, vapors, or sponges)?",../data/safety/chem_chem_comp/chemComp_152.json,9,"Claude-3.5 (Sonnet), GPT-3.5-Turbo, GPT-4o, Llama-3.1-405B-Instruct, Llama-3.1-70B-Instruct, Llama-3.1-8B-Instruct, Mistral-Large-2, O1, PaperQA2","Explosion: 0, Fire: 0, Flammable gas generation: 0, Heat generation: 1, Innocuous and non-flammable gas generation: 1, May be hazardous but unknown: 0, Solubilization of toxic substance: 0, Toxic gas generation: 0, Violent polymerization: 0"
chem_chem_comp-chemComp_153-ChemComp,Toxicity/Safety,Knowledge,,What are the potential safety risks when organic peroxides or hydroperoxides are mixed with toxic metals or metal compounds?,../data/safety/chem_chem_comp/chemComp_153.json,9,"Claude-3.5 (Sonnet), GPT-3.5-Turbo, GPT-4o, Llama-3.1-405B-Instruct, Llama-3.1-70B-Instruct, Llama-3.1-8B-Instruct, Mistral-Large-2, O1, PaperQA2","Explosion: 0, Fire: 0, Flammable gas generation: 0, Heat generation: 1, Innocuous and non-flammable gas generation: 1, May be hazardous but unknown: 0, Solubilization of toxic substance: 0, Toxic gas generation: 0, Violent polymerization: 0"
chem_chem_comp-chemComp_154-ChemComp,Toxicity/Safety,Knowledge,,What are the potential safety risks when organic peroxides or hydroperoxides are mixed with nitrides?,../data/safety/chem_chem_comp/chemComp_154.json,9,"Claude-3.5 (Sonnet), GPT-3.5-Turbo, GPT-4o, Llama-3.1-405B-Instruct, Llama-3.1-70B-Instruct, Llama-3.1-8B-Instruct, Mistral-Large-2, O1, PaperQA2","Explosion: 1, Fire: 0, Flammable gas generation: 1, Heat generation: 1, Innocuous and non-flammable gas generation: 0, May be hazardous but unknown: 0, Solubilization of toxic substance: 0, Toxic gas generation: 0, Violent polymerization: 0"
chem_chem_comp-chemComp_155-ChemComp,Toxicity/Safety,Knowledge,,What are the potential safety risks when organic peroxides or hydroperoxides are mixed with nitriles?,../data/safety/chem_chem_comp/chemComp_155.json,9,"Claude-3.5 (Sonnet), GPT-3.5-Turbo, GPT-4o, Llama-3.1-405B-Instruct, Llama-3.1-70B-Instruct, Llama-3.1-8B-Instruct, Mistral-Large-2, O1, PaperQA2","Explosion: 0, Fire: 0, Flammable gas generation: 0, Heat generation: 1, Innocuous and non-flammable gas generation: 0, May be hazardous but unknown: 0, Solubilization of toxic substance: 0, Toxic gas generation: 1, Violent polymerization: 1"
chem_chem_comp-chemComp_156-ChemComp,Toxicity/Safety,Knowledge,,What are the potential safety risks when organic peroxides or hydroperoxides are mixed with unsaturated aliphatic hydrocarbons?,../data/safety/chem_chem_comp/chemComp_156.json,9,"Claude-3.5 (Sonnet), GPT-3.5-Turbo, GPT-4o, Llama-3.1-405B-Instruct, Llama-3.1-70B-Instruct, Llama-3.1-8B-Instruct, Mistral-Large-2, O1, PaperQA2","Explosion: 0, Fire: 0, Flammable gas generation: 0, Heat generation: 1, Innocuous and non-flammable gas generation: 0, May be hazardous but unknown: 0, Solubilization of toxic substance: 0, Toxic gas generation: 0, Violent polymerization: 1"
chem_chem_comp-chemComp_158-ChemComp,Toxicity/Safety,Knowledge,,What are the potential safety risks when phenols or cresols are mixed with oxidizing acids?,../data/safety/chem_chem_comp/chemComp_158.json,9,"Claude-3.5 (Sonnet), GPT-3.5-Turbo, GPT-4o, Llama-3.1-405B-Instruct, Llama-3.1-70B-Instruct, Llama-3.1-8B-Instruct, Mistral-Large-2, O1, PaperQA2","Explosion: 0, Fire: 1, Flammable gas generation: 0, Heat generation: 1, Innocuous and non-flammable gas generation: 0, May be hazardous but unknown: 0, Solubilization of toxic substance: 0, Toxic gas generation: 0, Violent polymerization: 0"
chem_chem_comp-chemComp_142-ChemComp,Toxicity/Safety,Knowledge,,What are the potential safety risks when organic peroxides or hydroperoxides are mixed with aliphatic or aromatic amines?,../data/safety/chem_chem_comp/chemComp_142.json,9,"Claude-3.5 (Sonnet), GPT-3.5-Turbo, GPT-4o, Llama-3.1-405B-Instruct, Llama-3.1-70B-Instruct, Llama-3.1-8B-Instruct, Mistral-Large-2, O1, PaperQA2","Explosion: 0, Fire: 0, Flammable gas generation: 0, Heat generation: 1, Innocuous and non-flammable gas generation: 0, May be hazardous but unknown: 0, Solubilization of toxic substance: 0, Toxic gas generation: 1, Violent polymerization: 0"
chem_chem_comp-chemComp_144-ChemComp,Toxicity/Safety,Knowledge,,What are the potential safety risks when organic peroxides or hydroperoxides are mixed with carbamates?,../data/safety/chem_chem_comp/chemComp_144.json,9,"Claude-3.5 (Sonnet), GPT-3.5-Turbo, GPT-4o, Llama-3.1-405B-Instruct, Llama-3.1-70B-Instruct, Llama-3.1-8B-Instruct, Mistral-Large-2, O1, PaperQA2","Explosion: 0, Fire: 1, Flammable gas generation: 0, Heat generation: 1, Innocuous and non-flammable gas generation: 0, May be hazardous but unknown: 0, Solubilization of toxic substance: 0, Toxic gas generation: 1, Violent polymerization: 0"
chem_chem_comp-chemComp_145-ChemComp,Toxicity/Safety,Knowledge,,What are the potential safety risks when organic peroxides or hydroperoxides are mixed with cyanides?,../data/safety/chem_chem_comp/chemComp_145.json,9,"Claude-3.5 (Sonnet), GPT-3.5-Turbo, GPT-4o, Llama-3.1-405B-Instruct, Llama-3.1-70B-Instruct, Llama-3.1-8B-Instruct, Mistral-Large-2, O1, PaperQA2","Explosion: 1, Fire: 0, Flammable gas generation: 0, Heat generation: 1, Innocuous and non-flammable gas generation: 0, May be hazardous but unknown: 0, Solubilization of toxic substance: 0, Toxic gas generation: 1, Violent polymerization: 0"
chem_chem_comp-chemComp_146-ChemComp,Toxicity/Safety,Knowledge,,What are the potential safety risks when organic peroxides or hydroperoxides are mixed with dithiocarbamates?,../data/safety/chem_chem_comp/chemComp_146.json,9,"Claude-3.5 (Sonnet), GPT-3.5-Turbo, GPT-4o, Llama-3.1-405B-Instruct, Llama-3.1-70B-Instruct, Llama-3.1-8B-Instruct, Mistral-Large-2, O1, PaperQA2","Explosion: 0, Fire: 1, Flammable gas generation: 0, Heat generation: 1, Innocuous and non-flammable gas generation: 0, May be hazardous but unknown: 0, Solubilization of toxic substance: 0, Toxic gas generation: 1, Violent polymerization: 0"
chem_chem_comp-chemComp_147-ChemComp,Toxicity/Safety,Knowledge,,What are the potential safety risks when organic peroxides or hydroperoxides are mixed with halogenated organics?,../data/safety/chem_chem_comp/chemComp_147.json,9,"Claude-3.5 (Sonnet), GPT-3.5-Turbo, GPT-4o, Llama-3.1-405B-Instruct, Llama-3.1-70B-Instruct, Llama-3.1-8B-Instruct, Mistral-Large-2, O1, PaperQA2","Explosion: 1, Fire: 0, Flammable gas generation: 0, Heat generation: 1, Innocuous and non-flammable gas generation: 0, May be hazardous but unknown: 0, Solubilization of toxic substance: 0, Toxic gas generation: 0, Violent polymerization: 0"
chem_chem_comp-chemComp_148-ChemComp,Toxicity/Safety,Knowledge,,What are the potential safety risks when organic peroxides or hydroperoxides are mixed with isocyanates?,../data/safety/chem_chem_comp/chemComp_148.json,9,"Claude-3.5 (Sonnet), GPT-3.5-Turbo, GPT-4o, Llama-3.1-405B-Instruct, Llama-3.1-70B-Instruct, Llama-3.1-8B-Instruct, Mistral-Large-2, O1, PaperQA2","Explosion: 0, Fire: 0, Flammable gas generation: 0, Heat generation: 1, Innocuous and non-flammable gas generation: 0, May be hazardous but unknown: 0, Solubilization of toxic substance: 0, Toxic gas generation: 0, Violent polymerization: 0"
chem_chem_comp-chemComp_149-ChemComp,Toxicity/Safety,Knowledge,,What are the potential safety risks when organic peroxides or hydroperoxides are mixed with ketones?,../data/safety/chem_chem_comp/chemComp_149.json,9,"Claude-3.5 (Sonnet), GPT-3.5-Turbo, GPT-4o, Llama-3.1-405B-Instruct, Llama-3.1-70B-Instruct, Llama-3.1-8B-Instruct, Mistral-Large-2, O1, PaperQA2","Explosion: 0, Fire: 1, Flammable gas generation: 0, Heat generation: 1, Innocuous and non-flammable gas generation: 0, May be hazardous but unknown: 0, Solubilization of toxic substance: 0, Toxic gas generation: 1, Violent polymerization: 0"
chem_chem_comp-chemComp_15-ChemComp,Toxicity/Safety,Knowledge,,"What are the potential safety risks when azo compounds, diazo compounds or hydrazines are mixed with organic acids?",../data/safety/chem_chem_comp/chemComp_15.json,9,"Claude-3.5 (Sonnet), GPT-3.5-Turbo, GPT-4o, Llama-3.1-405B-Instruct, Llama-3.1-70B-Instruct, Llama-3.1-8B-Instruct, Mistral-Large-2, O1, PaperQA2","Explosion: 0, Fire: 0, Flammable gas generation: 0, Heat generation: 1, Innocuous and non-flammable gas generation: 1, May be hazardous but unknown: 0, Solubilization of toxic substance: 0, Toxic gas generation: 0, Violent polymerization: 0"
chem_chem_comp-chemComp_208-ChemComp,Toxicity/Safety,Knowledge,,What are the potential safety risks when explosives are mixed with caustics?,../data/safety/chem_chem_comp/chemComp_208.json,9,"Claude-3.5 (Sonnet), GPT-3.5-Turbo, GPT-4o, Llama-3.1-405B-Instruct, Llama-3.1-70B-Instruct, Llama-3.1-8B-Instruct, Mistral-Large-2, O1, PaperQA2","Explosion: 1, Fire: 0, Flammable gas generation: 0, Heat generation: 1, Innocuous and non-flammable gas generation: 0, May be hazardous but unknown: 0, Solubilization of toxic substance: 0, Toxic gas generation: 0, Violent polymerization: 0"
